AVG_CRASHES,CORRIDOR,CORR_ENDMP,CORR_MP,DEPT_ID,PER_100M_VMT,SEC_LNT_MI,SEGMENT_KEY,SIGNED_ROUTE,TOTAL_CRASHES,TYC_AADT
0.4,C000384,003+0.191,001+0.169,S-384,111.14140918543349,2.001,C000384_001+0.169_003+0.191_S-384,S-384,2,492.5
0.0,C000384,001+0.169,000+0.000,S-384,0.0,1.167,C000384_000+0.000_001+0.169_S-384,S-384,0,1447.75
0.2,C000381,013+0.683,003+0.759,S-381,42.33344472066975,9.913,C000381_003+0.759_013+0.683_S-381,S-381,1,130.5
0.2,C000381,003+0.759,000+0.000,S-381,55.7634592040187,3.752,C000381_000+0.000_003+0.759_S-381,S-381,1,261.75
1.8,C000401,005+0.020,000+0.000,S-401,109.44357165093074,5.024,C000401_000+0.000_005+0.020_S-401,S-401,9,896.4
0.2,C000374,006+0.055,004+0.049,S-374,198.48453307638508,2.003,C000374_004+0.049_006+0.055_S-374,S-374,1,137.75
4.2,C000370,001+0.876,000+0.000,S-370,231.34845543956712,1.952,C000370_000+0.000_001+0.876_S-370,S-370,21,2546.6666666666665
0.0,C000366,038+0.229,032+0.239,S-366,0.0,5.987,C000366_032+0.239_038+0.229_S-366,S-366,0,72
0.0,C000366,045+0.609,038+0.229,S-366,0.0,7.376,C000366_038+0.229_045+0.609_S-366,S-366,0,80.75
0.6,C000366,012+0.541,002+0.483,S-366,106.17517783103928,10.061,C000366_002+0.483_012+0.541_S-366,S-366,3,153.8
0.0,C000366,002+0.483,000+0.058,S-366,0.0,2.397,C000366_000+0.058_002+0.483_S-366,S-366,0,213
0.0,C000365,020+0.077,017+0.080,S-365,0.0,2.998,C000365_017+0.080_020+0.077_S-365,S-365,0,22.25
0.4,C000363,011+0.291,010+0.251,S-363,320.4886479304723,1.043,C000363_010+0.251_011+0.291_S-363,S-363,2,327.6666666666667
0.0,C000504,012+0.850,010+0.966,S-504,0.0,1.884,C000504_010+0.966_012+0.850_S-504,S-504,0,25
0.8,C000363,010+0.251,002+0.060,S-363,181.20069514928687,8.1,C000363_002+0.060_010+0.251_S-363,S-363,4,149.25
0.8,C000447,032+0.317,002+0.086,S-447,119.13597120575074,30.143,C000447_002+0.086_032+0.317_S-447,S-447,4,61
0.4,C000379,005+1.001,000+0.031,S-379,120.09761534174979,6.08,C000379_000+0.031_005+1.001_S-379,S-379,2,150
0.2,C000360,018+0.222,015+0.794,S-360,196.1339180425396,2.428,C000360_015+0.794_018+0.222_S-360,S-360,1,115
0.0,C000360,005+0.649,001+0.801,S-360,0.0,3.844,C000360_001+0.801_005+0.649_S-360,S-360,0,506.25
2.0,C000359,011+0.014,006+0.447,S-359,133.8220823571807,4.575,C000359_006+0.447_011+0.014_S-359,MT-2/S-359,10,894.5
2.8,C000359,006+0.447,002+0.291,S-359,154.090408377429,4.162,C000359_002+0.291_006+0.447_S-359,MT-2/S-359,14,1195.5
0.8,C000358,025+0.349,017+0.768,S-358,108.40728085304886,7.554,C000358_017+0.768_025+0.349_S-358,S-358,4,267.5
1.0,C000517,012+0.303,006+0.313,S-517,179.80007129633805,5.984,C000517_006+0.313_012+0.303_S-517,S-517,5,254.5
